executionTime,releaseTime
160625,17672191872470
158125,17672195873147
154896,17672199872366
157552,17672203871481
158959,17672207871064
156666,17672211871168
157813,17672215870856
156666,17672219871220
155000,17672223870439
179532,17672227870335
177395,17672231869814
160000,17672235867939
184115,17672239867679
159636,17672243867575
156770,17672247869137
181041,17672251866793
159688,17672255867679
182604,17672259866429
178489,17672263866168
176718,17672267866064
160521,17672271865596
158125,17672275867991
159531,17672279866273
157500,17672283866012
184063,17672287865231
178854,17672291864814
195156,17672295864450
175312,17672299864294
181666,17672303863825
177240,17672307863773
186042,17672311864606
180781,17672315863304
179844,17672319863096
177865,17672323863096
177396,17672327862575
181198,17672331862419
178177,17672335863460
180104,17672339861950
177969,17672343861690
179636,17672347861481
178646,17672351861377
176459,17672355861377
162292,17672359860908
157812,17672363861638
156511,17672367861950
180938,17672371860335
180938,17672375860127
178385,17672379859658
158489,17672383861898
158333,17672387861742
156094,17672391862315
152760,17672395863929
158698,17672399862367
157969,17672403861586
157813,17672407860961
160730,17672411860596
158750,17672415863773
181250,17672419861690
152135,17672423862627
177604,17672427861325
179167,17672431859711
159947,17672435859294
158802,17672439859190
157031,17672443860127
156771,17672447860127
153594,17672451859971
156094,17672455859919
156250,17672459858357
157969,17672463857627
154843,17672467857419
157969,17672471857263
157813,17672475857107
163177,17672479857575
216459,17672483860700
171458,17672487857992
167917,17672491856690
161979,17672495857419
160625,17672499856065
155260,17672503856221
157188,17672507856534
159010,17672511857471
159844,17672515856326
156615,17672519854503
157396,17672523854451
159791,17672527854294
153802,17672531854555
157604,17672535854763
155678,17672539855805
158125,17672543855440
168177,17672547853253
161562,17672551852940
182917,17672555853149
157865,17672559853461
160312,17672563851846
160729,17672567851638
159688,17672571853201
157865,17672575851222
169688,17672579851013
157917,17672583850753
160156,17672587850597
158906,17672591851013
156771,17672595851065
157500,17672599850024
155677,17672603850805
157396,17672607849347
156875,17672611849451
159531,17672615848982
159062,17672619849034
158125,17672623848982
157864,17672627849086
154896,17672631848045
160469,17672635847784
157813,17672639847680
158229,17672643847472
161667,17672647847263
163489,17672651848409
158177,17672655847524
155313,17672659846326
156042,17672663846274
162448,17672667846066
162084,17672671846430
161302,17672675845753
158072,17672679845701
179114,17672683845805
178021,17672687844920
177396,17672691845389
177969,17672695844347
186302,17672699844086
165573,17672703844034
157448,17672707846430
158698,17672711844243
157187,17672715843409
158854,17672719842993
159115,17672723842837
157761,17672727842472
178333,17672731842316
178594,17672735842212
157500,17672739842785
157916,17672743841951
159688,17672747841691
158594,17672751841430
158177,17672755840962
160157,17672759840701
156771,17672763840441
160468,17672767841378
156823,17672771841066
155990,17672775839712
179740,17672779839764
160886,17672783839660
178177,17672787839139
177344,17672791839087
176510,17672795838878
178177,17672799838618
156875,17672803838358
193750,17672807838045
178750,17672811837993
160364,17672815839191
159271,17672819837733
158958,17672823837941
155886,17672827838358
177448,17672831836743
179635,17672835836379
174479,17672839836066
178959,17672843835910
184844,17672847835858
159375,17672851835702
156666,17672855836170
160989,17672859835649
156823,17672863835024
157552,17672867834816
158541,17672871834400
161771,17672875834400
161875,17672879832212
165312,17672883831691
164270,17672887833514
161355,17672891832056
182761,17672895831170
179792,17672899830910
176719,17672903830754
176979,17672907830598
177969,17672911830337
180104,17672915830077
177917,17672919830441
181406,17672923829400
178437,17672927829348
176459,17672931830181
208489,17672935828775
192500,17672939830129
186823,17672943828723
178177,17672947829348
183281,17672951828046
181094,17672955828098
180625,17672959827577
177240,17672963827629
178229,17672967827264
182917,17672971827004
165573,17672975828254
159635,17672979827473
181406,17672983827212
179010,17672987825962
200209,17672991825754
180260,17672995825754
160469,17672999825650
161875,17673003827473
158437,17673007826692
179270,17673011824817
177656,17673015824504
177969,17673019824140
177813,17673023823879
157657,17673027826848
156406,17673031827056
153802,17673035827056
155677,17673039827160
157708,17673043825702
163593,17673047827213
185573,17673051826171
158489,17673055827473
157344,17673059825546
155937,17673063826275
177760,17673067826327
175729,17673071824192
176355,17673075823723
176041,17673079823254
176615,17673083822838
178802,17673087823619
176250,17673091823150
174219,17673095824036
175312,17673099822681
177604,17673103822109
176250,17673107821640
158125,17673111821952
155729,17673115821536
156615,17673119821171
153958,17673123822577
155104,17673127821952
158593,17673131820598
156458,17673135820598
157239,17673139820338
155782,17673143821588
189427,17673147820702
158750,17673151822942
157031,17673155820234
157292,17673159820286
158594,17673163818775
160417,17673167818932
163229,17673171818307
156355,17673175819036
154739,17673179819140
157448,17673183819348
156563,17673187817630
157291,17673191817317
182343,17673195817525
182239,17673199817109
159844,17673203817838
159063,17673207816328
157083,17673211817161
179010,17673215815859
155521,17673219815390
158802,17673223815130
160312,17673227815234
161458,17673231817213
157291,17673235815286
155938,17673239814609
183386,17673243815286
178594,17673247813724
176979,17673251813672
178073,17673255813567
158594,17673259814974
156146,17673263814088
156771,17673267813047
155989,17673271813255
160000,17673275812265
180834,17673279812317
160157,17673283812995
158229,17673287812005
158178,17673291812682
159115,17673295811849
182709,17673299811901
156406,17673303811640
156614,17673307810807
157760,17673311810390
160938,17673315810390
164844,17673319811693
175938,17673323810911
157605,17673327810599
179219,17673331811380
177916,17673335809036
178750,17673339808411
175052,17673343808359
158385,17673347808151
169167,17673351806849
163281,17673355807891
159792,17673359807370
157761,17673363807109
160052,17673367807109
159375,17673371807057
155782,17673375806484
157500,17673379807839
157865,17673383806432
158333,17673387805912
155208,17673391806484
156823,17673395805755
158230,17673399805130
156198,17673403805026
158958,17673407805651
158906,17673411804609
154479,17673415804401
155520,17673419804297
161042,17673423803880
157291,17673427803724
158750,17673431804818
159063,17673435803985
182813,17673439803724
155990,17673443802943
